# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
F5EX,regionalJet
F5SA,mediumJet
F60,turboprop
F600,turboprop
F7,lightPiston
F70,mediumJet
F8,mediumJet
F86,mediumJet
F8L,lightPiston
F900,mediumJet
F9EX,regionalJet
F9F,mediumJet
F9LX,regionalJet
FA01,lightPiston
FA02,lightPiston
FA03,lightPiston
FA04,lightPiston
FA10,mediumJet
FA11,lightPiston
FA20,mediumJet
FA24,lightPiston
FA50,mediumJet
FA62,lightPiston
FA6X,mediumJet
FA7X,regionalJet
FA8X,regionalJet
FAET,lightPiston
FALC,lightPiston
FALM,lightPiston
FANL,lightPiston
FANT,turboprop
FB1A,lightPiston
FB1B,lightPiston
FB5,lightPiston
FBA2,lightPiston
FC1,mediumJet
FD2E,unpowered
FDCT,lightPiston
FDF2,lightPiston
FDMC,lightPiston
FE51,lightPiston
FEST,lightPiston
FFLY,lightPiston
FG01,lightPiston
FGT,lightPiston
FH11,helicopter
FIBO,lightPiston
FIKD,lightPiston
FIKE,lightPiston
FINC,lightPiston
FJ10,regionalJet
FJR3,lightPiston
FK12,lightPiston
FK14,lightPiston
FK9,lightPiston
FL3,lightPiston
FL53,lightPiston
FL54,lightPiston
FL55,lightPiston
FLAM,lightPiston
FLCO,lightPiston
FLE2,lightPiston
FLE7,lightPiston
FLIZ,lightPiston
FLSH,lightPiston
FLSS,lightPiston
FM25,lightPiston
FMGO,lightPiston
FN33,lightPiston
FNKB,lightPiston
FOOF,lightPiston
FORT,lightPiston
FOUG,regionalJet
FOX,lightPiston
FOXT,lightPiston
FRBD,lightPiston
FREE,lightPiston
FREL,helicopter
FRNT,lightPiston
FRON,lightPiston
FS51,lightPiston
FT30,lightPiston
FU24,lightPiston
FURY,lightPiston
FUSI,lightPiston
FW02,lightPiston
FW44,lightPiston
FW90,lightPiston
FWSB,lightPiston
FX1,lightPiston
G1,lightPiston
G102,unpowered
G103,unpowered
G104,unpowered
G109,lightPiston
G115,lightPiston
G120,lightPiston
G12T,turboprop
G140,turboprop
G150,mediumJet
G159,turboprop
